PDS,ANZ_S,RTS_E24110.0,RTS_E24110.1,RTS_E24110.3,RTS_E24110.3.MW_A_PR,RTS_E24110.3.MW_M_PR,RTS_E24110.3.MW_A_PW,RTS_E24110.3.MW_M_PW,RTS_E24110.4,RTS_E24110.4.MW_A_PR,RTS_E24110.4.MW_M_PR,RTS_E24110.4.MW_A_PW,RTS_E24110.4.MW_M_PW,RTS_E24110.9,RTS_E24100.0,RTS_E24100.1,RTS_E24100.3,RTS_E24100.3.MW_A_PR,RTS_E24100.3.MW_M_PR,RTS_E24100.3.MW_A_PW,RTS_E24100.3.MW_M_PW,RTS_E24100.4,RTS_E24100.4.MW_A_PR,RTS_E24100.4.MW_M_PR,RTS_E24100.4.MW_A_PW,RTS_E24100.4.MW_M_PW,RTS_E24100.9,RTS_E24090.0,RTS_E24090.1,RTS_E24090.3,RTS_E24090.3.MW_A_PR,RTS_E24090.3.MW_M_PR,RTS_E24090.3.MW_A_PW,RTS_E24090.3.MW_M_PW,RTS_E24090.4,RTS_E24090.4.MW_A_PR,RTS_E24090.4.MW_M_PR,RTS_E24090.4.MW_A_PW,RTS_E24090.4.MW_M_PW,RTS_E24090.9,RTS_E24080.0,RTS_E24080.1,RTS_E24080.3,RTS_E24080.3.MW_A_PR,RTS_E24080.3.MW_M_PR,RTS_E24080.3.MW_A_PW,RTS_E24080.3.MW_M_PW,RTS_E24080.4,RTS_E24080.4.MW_A_PR,RTS_E24080.4.MW_M_PR,RTS_E24080.4.MW_A_PW,RTS_E24080.4.MW_M_PW,RTS_E24080.9,RTS_E24070.0,RTS_E24070.1,RTS_E24070.3,RTS_E24070.3.MW_A_PR,RTS_E24070.3.MW_M_PR,RTS_E24070.3.MW_A_PW,RTS_E24070.3.MW_M_PW,RTS_E24070.4,RTS_E24070.4.MW_A_PR,RTS_E24070.4.MW_M_PR,RTS_E24070.4.MW_A_PW,RTS_E24070.4.MW_M_PW,RTS_E24070.9,RTS_E24060.0,RTS_E24060.1,RTS_E24060.3,RTS_E24060.3.MW_A_PR,RTS_E24060.3.MW_M_PR,RTS_E24060.3.MW_A_PW,RTS_E24060.3.MW_M_PW,RTS_E24060.4,RTS_E24060.4.MW_A_PR,RTS_E24060.4.MW_M_PR,RTS_E24060.4.MW_A_PW,RTS_E24060.4.MW_M_PW,RTS_E24060.9,RTS_E24050.0,RTS_E24050.1,RTS_E24050.3,RTS_E24050.3.MW_A_PR,RTS_E24050.3.MW_M_PR,RTS_E24050.3.MW_A_PW,RTS_E24050.3.MW_M_PW,RTS_E24050.4,RTS_E24050.4.MW_A_PR,RTS_E24050.4.MW_M_PR,RTS_E24050.4.MW_A_PW,RTS_E24050.4.MW_M_PW,RTS_E24050.9,RTS_E24040.0,RTS_E24040.1,RTS_E24040.3,RTS_E24040.3.MW_A_PR,RTS_E24040.3.MW_M_PR,RTS_E24040.3.MW_A_PW,RTS_E24040.3.MW_M_PW,RTS_E24040.4,RTS_E24040.4.MW_A_PR,RTS_E24040.4.MW_M_PR,RTS_E24040.4.MW_A_PW,RTS_E24040.4.MW_M_PW,RTS_E24040.9,RTS_E24030.0,RTS_E24030.1,RTS_E24030.3,RTS_E24030.3.MW_A_PR,RTS_E24030.3.MW_M_PR,RTS_E24030.3.MW_A_PW,RTS_E24030.3.MW_M_PW,RTS_E24030.4,RTS_E24030.4.MW_A_PR,RTS_E24030.4.MW_M_PR,RTS_E24030.4.MW_A_PW,RTS_E24030.4.MW_M_PW,RTS_E24030.9,RTS_E24020.0,RTS_E24020.1,RTS_E24020.3,RTS_E24020.3.MW_A_PR,RTS_E24020.3.MW_M_PR,RTS_E24020.3.MW_A_PW,RTS_E24020.3.MW_M_PW,RTS_E24020.4,RTS_E24020.4.MW_A_PR,RTS_E24020.4.MW_M_PR,RTS_E24020.4.MW_A_PW,RTS_E24020.4.MW_M_PW,RTS_E24020.9,RTS_E24010.0,RTS_E24010.1,RTS_E24010.3,RTS_E24010.3.MW_A_PR,RTS_E24010.3.MW_M_PR,RTS_E24010.3.MW_A_PW,RTS_E24010.3.MW_M_PW,RTS_E24010.4,RTS_E24010.4.MW_A_PR,RTS_E24010.4.MW_M_PR,RTS_E24010.4.MW_A_PW,RTS_E24010.4.MW_M_PW,RTS_E24010.9
1661832,600,72,,,,,,,528,"1,070076","18,863636",",204097","3,566606",,13,2,2,1,30,",202941","6,088236",583,"3,421955","190,523156",",629675","35,055157",,159,70,26,"3,269231","263,076923",",556204","43,99081",345,"5,947826","578,347826","1,10358","107,888344",,323,122,68,"4,676471","401,029412",",851447","73,088205",87,"7,770115","668,793103","1,474369","127,426667",,401,2,22,1,30,",194682","5,840462",175,"8,285714","307,142857","1,622667","59,603495",,,,,,,,,600,"8,54","522,675","1,626951","99,712975",,,47,103,"21,339806","939,708738","3,989565","175,590221",450,"36,155556","1624,566667","6,66683","299,478869",,13,18,20,"4,2","139,5",",751594","25,195419",549,"7,712204","314,398907","1,440437","58,76113",,,,,,,,,600,"28,36","502,491667","5,277268","93,686531",,10,126,177,"12,502825","956,186441","2,305409","176,086108",287,"19,097561","1470,627178","3,504553","269,585869",,,,4,"6,25","181,25",",948011","27,548367",596,"10,115772","300,461409","1,898162","56,365354",
1661833,364,48,,,,,,,316,"1,015823","15,237342",",197244","2,95866",,23,4,17,"1,058824","30,588235",",217424","6,273161",320,"2,2375","114,21875",",432631","22,131693",,55,12,8,"2,25","236,25",",402382","43,162945",289,"6,854671","566,712803","1,326912","109,752483",,15,15,29,"6,068966","426,37931","1,131071","79,592165",305,"11,298361","835,114754","2,169856","160,358059",,46,,,,,,,318,"1,591195","91,084906",",310184","17,759676",,,26,26,"4,615385","119,807692",",958621","24,892587",312,"8,246795","286,762821","1,592701","55,362454",,,4,5,"17,6",897,"3,718573","186,723612",355,"34,957746","1784,774648","6,662789","340,396436",,1,3,2,5,165,",897436","29,615385",358,"12,997207","514,48324","2,496972","98,815271",,1,93,84,"8,380952","255,714286","1,610879","49,192374",186,"11,876344","366,209677","2,289667","70,508607",,1,20,52,"9,596154","912,115385","1,85255","176,376599",291,"17,134021","1416,821306","3,287168","271,855877",,1,1,,,,,,362,"8,259669","287,707182","1,599033","55,741635",
1661834,536,466,,,,,,,70,"1,228571","44,642857",",238487","8,764227",,,13,35,"1,2",31,",26509","6,92078",488,"5,202869","139,241803","1,056913","28,523834",,256,52,56,"4,267857","227,232143",",81655","44,114773",172,"7,761628","430,988372","1,577822","88,261947",,224,48,70,"4,742857","376,928571",",938362","74,024487",194,"7,510309","622,886598","1,442209","119,349084",,41,36,,,,,,459,"3,657952","145,272331",",759097","29,939737",,,1,1,1,100,",212121","21,212121",534,"6,357678","307,44382","1,340813","64,694466",,,3,19,"22,263158","847,894737","4,617978","178,752346",514,"43,031128","1932,188716","8,571016","383,89362",,107,7,14,"2,785714","124,285714",",557899","24,825847",408,"7,257353","298,198529","1,455123","60,038868",,27,206,111,"4,27027","237,567568",",901719","49,160726",192,"7,401042","510,46875","1,464514","100,269815",,3,25,181,"9,828729","876,298343","1,971581","175,800124",327,"16,119266","1386,834862","3,173753","273,194193",,1,,,,,,,535,"7,231776","261,560748","1,466828","53,187899",
1661835,163,124,,,,,,,39,"1,051282","15,769231",",192806","2,892094",,,,1,2,30,",388889","5,833333",162,"8,839506","340,95679","1,7303","66,377899",,23,17,61,"4,409836","220,491803",",823738","41,186916",62,"5,790323","274,83871","1,164819","55,43522",,163,,,,,,,,,,,,,146,,9,1,30,",189453","5,683593",8,"4,625","206,875",",824923","35,941973",,,11,21,"6,333333","113,809524","1,223427","22,744478",131,"10,114504","372,290076","1,978262","72,853362",,,3,25,"22,68","889,4","4,646855","183,18422",135,"36,259259","1532,703704","6,987759","295,322936",,,2,14,"3,142857","130,714286",",615586","25,797698",147,"5,462585","233,095238","1,056937","45,159647",,3,23,81,"4,37037","262,222222",",825452","49,527113",56,"5,071429","304,285714","1,039257","62,355418",,,74,51,"13,745098","942,058824","2,64532","181,513032",38,"14,789474","1109,210526","3,038551","227,891338",,,1,4,"2,75","123,75",",589526","26,528646",158,"10,202532","630,949367","1,952483","120,988929",
1661836,282,96,,,,,,,186,"1,129032","18,951613",",193748","3,235341",,3,25,33,"1,272727",30,",224432","5,201189",221,"2,570136","68,484163",",433097","11,488344",,83,43,18,"3,444444","236,666667",",606905","40,998289",138,"5,847826","605,942029",",968984","100,425084",,1,56,65,"7,723077","465,230769","1,230456","74,137732",160,"13,54375","834,1875","2,295614","141,169886",,2,,,,,,,280,"3,353571","214,392857",",568253","36,156842",,,,,,,,,282,"19,198582","476,595745","3,234207","80,980576",,,35,52,"29,653846","1076,730769","4,920699","177,621767",195,"46,907692","1909,717949","7,892465","321,781408",,2,7,14,5,"156,428571",",757405","23,766368",259,"13,07722","431,930502","2,233597","73,789865",,,,,,,,,282,"30,308511","641,507092","5,08925","107,843324",,,8,19,"17,947368","1208,684211","2,941034","197,897953",255,"21,505882","1526,176471","3,594945","254,917641",,1,19,22,"4,5","159,090909",",721353","25,274756",240,"7,591667","291,458333","1,293797","49,615078",
1661837,1182,3,,,,,,,1179,"2,551315","64,597116",",481431","12,161953",,19,153,155,2,30,",384324","5,764864",855,"6,864327","308,54386","1,279532","57,558512",,363,119,127,"1,826772","196,496063",",352705","38,73786",573,"8,254799","870,881326","1,558789","164,345299",,519,162,93,"3,666667","392,903226",",68011","72,561288",408,"6,747549","704,963235","1,247613","130,254463",,252,332,347,"2,662824","36,916427",",501579","6,977719",251,"3,505976","140,577689",",649555","26,027155",,36,542,1,2,120,",341463","20,487805",603,"7,252073","381,442786","1,346777","70,89596",,,103,182,"23,67033","948,791209","4,408789","176,810302",897,"43,280936","1837,413601","8,10503","344,131054",,97,66,41,"3,268293","134,146341",",61343","25,232967",978,"9,877301","455,230061","1,832984","84,434834",,1,6,408,"8,487745","255,073529","1,60334","48,18586",767,"14,05867","569,198175","2,622014","106,151007",,4,81,167,"8,652695","970,838323","1,609452","180,624339",930,"13,183871","1485,010753","2,456417","276,674808",,1,,22,"4,363636","152,727273",",792345","27,692451",1159,"6,528904","276,61346","1,221357","51,772777",
1661838,293,209,,1,1,10,",205882","2,058824",83,"1,084337","33,012048",",218171","6,637239",,,13,2,2,35,",424633","7,431066",278,"10,618705","209,874101","2,166088","42,771186",,2,6,45,"2,088889","239,111111",",423469","48,301823",240,"10,645833","703,8125","2,168733","143,435905",,17,24,11,"4,818182",390,",962859","77,935455",241,"10,684647","904,481328","2,154586","182,250481",,25,4,,,,,,264,"2,102273","128,636364",",425702","26,048783",,,,3,5,"126,666667","1,181917","29,804648",290,"12,255172","364,413793","2,485274","74,342244",,,34,69,"26,275362","856,521739","5,299873","172,86373",190,"45,494737","1503,631579","9,249558","305,79265",,25,18,10,"3,3",129,",658321","25,662482",240,"9,983333","368,395833","2,020877","74,603394",,139,96,21,"3,095238","239,285714",",611365","47,482501",37,"4,972973","475,540541",",977728","93,418738",,,7,93,"12,11828","938,225806","2,453136","190,060896",193,"14,435233","1199,766839","2,920861","243,091543",,,,,,,,,293,"6,331058","314,829352","1,323878","65,889345",
1661839,647,6,,,,,,,641,"1,617785","24,266771",",333113","4,99669",,,,13,1,30,",218895","6,56687",634,"4,104101","89,881703",",842711","18,450964",,111,23,30,"5,633333","208,833333","1,120979","41,925157",483,"11,672878","702,163561","2,339482","141,195216",,78,81,65,"5,230769","358,076923","1,079083","74,048323",423,"12,224586","1043,498818","2,412653","205,470695",,268,63,62,"1,322581","33,225806",",268823","6,762332",254,"2,429134","148,562992",",497447","30,125469",,,,12,"3,25","123,75",",808189","30,741253",635,"5,355906","235,80315","1,102212","48,534165",,,24,109,"20,733945","867,706422","4,316089","180,479967",514,"33,729572","1479,552529","6,689842","292,845882",,11,21,69,"3,724638","115,507246",",784285","24,351124",546,"6,012821","209,761905","1,201185","41,879819",,,275,61,"3,180328","252,540984",",639392","49,285721",311,"5,366559","843,617363","1,056664","166,403749",,1,3,86,"12,534884","1003,372093","2,386342","190,857214",557,"15,692998","1225,59246","3,209285","250,203452",,,,,,,,,647,"5,302937","188,578053","1,071089","38,265735",
1661840,500,2,,,,,,,498,"3,182731","48,644578",",609901","9,320081",,169,3,23,"1,130435","32,826087",",226196","6,701454",305,"3,845902","222,622951",",716641","41,603825",,3,1,220,"4,004545","240,409091",",755654","45,359134",276,"10,481884","688,786232","1,985363","129,657499",,254,135,61,"4,508197","398,852459",",841315","74,325178",50,"7,78","676,8","1,46823","127,447309",,170,8,8,1,30,",188798","5,663935",314,"2,092357","204,156051",",391547","37,638363",,7,66,164,"4,719512","126,402439",",931687","24,988893",263,"6,844106","210,247148","1,27611","39,464085",,1,5,19,"26,421053","1003,684211","4,878805","183,809634",475,"44,901053","1909,652632","8,472557","359,468455",,,1,,,,,,499,"11,172345","696,222445","2,149376","133,824961",,,9,245,"4,061224","289,489796",",743383","52,964963",246,"6,723577","520,691057","1,328956","102,74962",,,6,5,"10,2",880,"2,079691","179,145545",489,"17,07771","1707,607362","3,26193","326,166945",,1,,2,4,"152,5",",703431","26,593137",497,"7,533199","340,030181","1,424985","64,077616",
1661841,515,277,,,,,,,238,"1,697479","25,462185",",332472","4,987081",,36,131,68,"1,955882","31,397059",",383372","6,210029",280,"4,896429","74,821429",",951042","14,536535",,128,93,16,"4,75","236,25",",880602","44,104061",278,"8,589928","505,665468","1,698058","99,900632",,237,88,114,"4,701754","378,333333",",908035","73,229443",76,"7,092105","590,263158","1,363893","113,455453",,248,12,1,2,30,",411765","6,176471",254,"3,84252","172,401575",",750237","33,590301",,3,150,145,"3,489655","120,827586",",693541","23,954439",217,"4,990783","183,870968",",98503","36,478678",,,6,20,"24,45","922,25","4,832429","182,477121",489,"54,593047","2138,067485","10,669036","417,898191",,85,68,40,"4,075","125,25",",783178","24,16048",322,"9,978261","303,959627","1,933334","58,884161",,21,428,10,"10,1",252,"1,981166","49,580864",56,"10,892857","553,660714","2,14563","108,061002",,3,22,143,"9,706294","920,27972","1,911138","181,471872",347,"14,354467","1370,864553","2,789129","266,456668",,,24,55,"4,181818","127,636364",",795281","24,270828",436,"7,144495","224,40367","1,406184","44,150244",
