PDS,ANZ_S,RTS_E23010.0,RTS_E23010.1,RTS_E23010.3,RTS_E23010.3.MW_A_PR,RTS_E23010.3.MW_M_PR,RTS_E23010.3.MW_A_PW,RTS_E23010.3.MW_M_PW,RTS_E23010.4,RTS_E23010.4.MW_A_PR,RTS_E23010.4.MW_M_PR,RTS_E23010.4.MW_A_PW,RTS_E23010.4.MW_M_PW,RTS_E23010.9,RTS_E23020.0,RTS_E23020.1,RTS_E23020.3,RTS_E23020.3.MW_A_PR,RTS_E23020.3.MW_M_PR,RTS_E23020.3.MW_A_PW,RTS_E23020.3.MW_M_PW,RTS_E23020.4,RTS_E23020.4.MW_A_PR,RTS_E23020.4.MW_M_PR,RTS_E23020.4.MW_A_PW,RTS_E23020.4.MW_M_PW,RTS_E23020.9,RTS_E23030.0,RTS_E23030.1,RTS_E23030.3,RTS_E23030.3.MW_A_PR,RTS_E23030.3.MW_M_PR,RTS_E23030.3.MW_A_PW,RTS_E23030.3.MW_M_PW,RTS_E23030.4,RTS_E23030.4.MW_A_PR,RTS_E23030.4.MW_M_PR,RTS_E23030.4.MW_A_PW,RTS_E23030.4.MW_M_PW,RTS_E23030.9,RTS_E23040.0,RTS_E23040.1,RTS_E23040.3,RTS_E23040.3.MW_A_PR,RTS_E23040.3.MW_M_PR,RTS_E23040.3.MW_A_PW,RTS_E23040.3.MW_M_PW,RTS_E23040.4,RTS_E23040.4.MW_A_PR,RTS_E23040.4.MW_M_PR,RTS_E23040.4.MW_A_PW,RTS_E23040.4.MW_M_PW,RTS_E23040.9,RTS_E23050.0,RTS_E23050.1,RTS_E23050.3,RTS_E23050.3.MW_A_PR,RTS_E23050.3.MW_M_PR,RTS_E23050.3.MW_A_PW,RTS_E23050.3.MW_M_PW,RTS_E23050.4,RTS_E23050.4.MW_A_PR,RTS_E23050.4.MW_M_PR,RTS_E23050.4.MW_A_PW,RTS_E23050.4.MW_M_PW,RTS_E23050.9,RTS_E23060.0,RTS_E23060.1,RTS_E23060.3,RTS_E23060.3.MW_A_PR,RTS_E23060.3.MW_M_PR,RTS_E23060.3.MW_A_PW,RTS_E23060.3.MW_M_PW,RTS_E23060.4,RTS_E23060.4.MW_A_PR,RTS_E23060.4.MW_M_PR,RTS_E23060.4.MW_A_PW,RTS_E23060.4.MW_M_PW,RTS_E23060.9,RTS_E23070.0,RTS_E23070.1,RTS_E23070.3,RTS_E23070.3.MW_A_PR,RTS_E23070.3.MW_M_PR,RTS_E23070.3.MW_A_PW,RTS_E23070.3.MW_M_PW,RTS_E23070.4,RTS_E23070.4.MW_A_PR,RTS_E23070.4.MW_M_PR,RTS_E23070.4.MW_A_PW,RTS_E23070.4.MW_M_PW,RTS_E23070.9,RTS_E23080.0,RTS_E23080.1,RTS_E23080.3,RTS_E23080.3.MW_A_PR,RTS_E23080.3.MW_M_PR,RTS_E23080.3.MW_A_PW,RTS_E23080.3.MW_M_PW,RTS_E23080.4,RTS_E23080.4.MW_A_PR,RTS_E23080.4.MW_M_PR,RTS_E23080.4.MW_A_PW,RTS_E23080.4.MW_M_PW,RTS_E23080.9,RTS_E23090.0,RTS_E23090.1,RTS_E23090.3,RTS_E23090.3.MW_A_PR,RTS_E23090.3.MW_M_PR,RTS_E23090.3.MW_A_PW,RTS_E23090.3.MW_M_PW,RTS_E23090.4,RTS_E23090.4.MW_A_PR,RTS_E23090.4.MW_M_PR,RTS_E23090.4.MW_A_PW,RTS_E23090.4.MW_M_PW,RTS_E23090.9,RTS_E23100.0,RTS_E23100.1,RTS_E23100.3,RTS_E23100.3.MW_A_PR,RTS_E23100.3.MW_M_PR,RTS_E23100.3.MW_A_PW,RTS_E23100.3.MW_M_PW,RTS_E23100.4,RTS_E23100.4.MW_A_PR,RTS_E23100.4.MW_M_PR,RTS_E23100.4.MW_A_PW,RTS_E23100.4.MW_M_PW,RTS_E23100.9,RTS_E23110.0,RTS_E23110.1,RTS_E23110.3,RTS_E23110.3.MW_A_PR,RTS_E23110.3.MW_M_PR,RTS_E23110.3.MW_A_PW,RTS_E23110.3.MW_M_PW,RTS_E23110.4,RTS_E23110.4.MW_A_PR,RTS_E23110.4.MW_M_PR,RTS_E23110.4.MW_A_PW,RTS_E23110.4.MW_M_PW,RTS_E23110.9
1483471,208,,1,3,"40,666667",1220,"14,233333",427,204,"75,303922","2325,931373","25,220626","778,469723",,11,43,42,"7,190476","219,761905","2,470351","75,460916",112,"9,116071","303,125","3,05278","101,570375",,35,49,28,"3,464286","99,642857","1,140428","32,842472",96,"5,666667","166,041667","1,879499","55,076298",,5,8,24,5,"236,875","1,696066","80,127734",171,"6,853801","323,245614","2,320276","109,502721",,,19,23,"2,086957",90,",711495","30,647715",166,"3,740964",165,"1,255387","55,449254",,118,,1,1,30,",2",6,89,"1,505618","136,853933",",50274","45,953301",,62,1,33,1,45,",339275","15,267385",112,"2,473214","121,071429",",820809","40,175861",,47,20,35,"3,4","159,857143","1,08593","51,016239",106,"4,971698","237,075472","1,678381","80,118893",,7,55,73,"2,09589","152,876712",",723827","52,776775",73,"3,109589","216,164384","1,030146","71,656018",,,39,1,2,45,",7","15,75",168,"3,803571","101,071429","1,275923","33,957859",,5,,,,,,,203,"1,91133","42,70936",",646943","14,462631",
1483472,497,,1,20,40,1416,"11,241481","398,643519",476,"61,607143","2259,590336","19,001813","696,861691",,284,37,145,"7,751724","234,206897","2,391957","72,172501",31,"11,225806","348,387097","3,732079","116,026882",,1,486,8,5,"108,75","1,431228","31,317735",2,7,140,"2,087037","41,740741",,18,6,39,4,180,"1,341781","60,380165",434,6,270,"1,86792","84,056388",,,2,,,,,,495,"3,264646","140,454545","1,018381","43,909321",,372,,18,1,30,",320307","9,609212",107,"1,35514","116,074766",",408377","34,727626",,401,1,,,,,,95,"1,578947","93,947368",",468559","27,892849",,60,10,196,"5,591837","167,755102","1,72411","51,723291",231,"6,848485","205,454545","2,101778","63,053336",,117,27,36,3,180,",970503","58,230183",317,4,240,"1,247507","74,850417",,,43,65,2,45,",628567","14,142757",389,"3,061697","104,344473",",955304","32,586267",,,,,,,,,497,"2,43662","63,531187",",762007","19,856077",
1483473,195,,5,15,"31,2",1338,"9,091418","393,152415",175,"51,051429","2062,8","15,016153","606,384286",,98,47,20,"6,7","252,75","1,96522","71,685575",30,"10,166667",388,"3,187229","122,688671",,18,23,38,"5,526316","110,526316","1,645454","32,909072",116,"8,137931","162,758621","2,440412","48,808238",,6,7,14,"7,214286","216,428571","2,46957","74,087091",168,"16,470238","572,321429","4,845663","169,101122",,,5,,,,,,190,"4,126316","223,342105","1,257937","68,153925",,8,,2,1,30,",315","9,45",185,"2,459459","146,27027",",739373","43,85909",,102,1,4,1,"46,25",",35","16,1875",88,"3,261364","150,568182",",910608","42,040398",,32,15,67,"3,910448","192,61194","1,021942","50,276936",81,"4,555556","225,617284","1,509288","74,839049",,60,6,6,"3,166667",155,",890461","43,226749",123,"4,056911","202,845528","1,24479","62,239525",,1,23,13,"2,230769","45,769231",",644217","13,260902",158,"2,556962","69,651899",",778009","21,268825",,3,,,,,,,192,"1,026042","15,390625",",31633","4,744955",
1483474,258,,5,35,"41,2","1265,142857","12,85201","395,154019",218,"64,683486","2016,605505","18,968237","591,12714",,189,34,15,"7,533333",232,"2,233748","68,930944",20,"13,4","405,75","3,913688","118,586594",,155,47,27,"5,037037","115,925926","1,458478","33,280678",29,"6,448276","166,206897","1,961426","50,042149",,87,,42,"3,928571","230,714286","1,168012","68,518982",129,"5,023256","301,046512","1,518914","91,014286",,12,61,3,2,"86,666667",",7","30,333333",182,"2,263736","131,373626",",674442","39,155013",,55,1,7,"1,285714",30,",358713","8,539171",195,"1,94359","128,307692",",575763","37,877076",,126,19,,,,,,113,"3,539823","176,460177","1,009786","50,088337",,56,17,32,"5,28125","162,1875","1,615728","49,529772",153,"10,457516","317,745098","3,053054","92,755797",,98,19,55,3,"179,727273",",902278","54,06324",86,"4,05814","243,488372","1,191007","71,460432",,11,144,18,"2,722222","47,777778",",809054","14,281386",85,"4,6","107,176471","1,36198","31,284838",,21,,,,,,,237,"1,535865","53,227848",",463908","16,082748",
1483475,829,,3,17,"43,294118","1313,823529","13,308119","404,033353",809,"72,867738","2200,871446","22,74909","687,232241",,9,424,70,"5,014286","240,857143","1,534027","75,012258",326,"13,116564","498,680982","4,121897","157,745908",,35,10,15,"4,933333",110,"1,490741","32,874074",769,"10,295189","306,358908","3,247717","96,640843",,2,46,226,"4,862832","232,699115","1,638998","78,444866",555,"6,794595","320,72973","2,115476","99,89119",,,,,,,,,829,"6,231604","217,762364","1,984999","69,535309",,31,,,,,,,798,"2,417293","168,270677",",76682","53,109993",,6,,32,1,50,",342708","17,135417",791,"3,451327","168,773704","1,08978","53,341937",,16,330,158,"4,588608","167,658228","1,377297","49,795929",325,"5,618462","235,630769","1,846113","77,34154",,4,183,429,"3,002331","180,034965",",946954","56,790065",213,"5,28169","292,183099","1,691524","93,522297",,4,,285,1,45,",324644","14,608981",540,"2,896296","126,611111",",917674","40,152357",,13,,,,,,,816,"1,464461","73,419118",",467486","23,486625",
1483476,71,,2,11,"38,272727","1175,454545","12,431919","382,296251",58,"59,827586","2159,913793","17,521393","633,487006",,2,24,16,"6,25",275,"1,789853","78,304373",29,"8,206897","365,172414","2,643301","117,035682",,36,14,14,"5,714286","117,142857","1,605622","32,718495",7,"7,285714","145,714286","2,350776","47,015528",,9,10,24,"4,208333","213,75","1,293962","66,275831",28,"5,392857","345,535714","1,576778","100,904734",,20,30,15,2,89,",607692","27,012785",6,"2,166667","117,5",",60748","32,471526",,23,,14,1,30,",298781","8,963424",34,"1,941176","107,647059",",56108","31,225031",,9,23,,,,,,39,"2,205128","105,897436",",665411","31,702175",,9,19,25,"4,8","175,2","1,356474","49,976483",18,"6,388889","225,833333","2,027044","71,850067",,15,52,3,3,180,",855274","51,316425",1,4,240,",965517","57,931034",,12,37,,,,,,22,"2,318182","69,545455",",671448","20,143433",,33,,,,,,,38,1,"15,394737",",297421","4,559999",
1483477,190,,8,20,"36,35","1396,5","10,516159","405,746774",162,"54,641975","2294,259259","16,335544","688,224015",,1,34,20,"8,95",270,"2,64311","79,818301",135,"13,755556","426,444444","4,090027","127,204668",,1,42,74,"5,283784","109,864865","1,613413","33,468004",73,"7,328767","169,863014","2,228277","51,351275",,3,9,173,"3,890173","233,410405","1,224144","73,448653",5,"4,4",336,"1,364737","102,915789",,1,7,,,,,,182,"3,428571","205,714286","1,070178","64,21071",,137,,7,1,30,",330828","9,924837",46,"1,478261","99,130435",",455218","30,291034",,22,19,,,,,,149,"1,718121","85,067114",",529736","26,298359",,30,46,36,"3,75","168,75","1,112082","50,043675",78,"5,923077","263,653846","1,792163","80,02074",,3,76,73,"2,958904","179,178082",",891132","54,034506",38,"4,157895","263,684211","1,327612","84,303388",,,,6,3,45,"1,059211","15,888158",184,"4,538043","116,005435","1,36675","35,485166",,,,,,,,,190,"2,873684","84,710526",",871715","25,733539",
1483478,140,,,,,,,,140,"82,985714","2699,357143","24,229519","787,809438",,93,40,5,"6,8",222,"1,962593","64,088889",2,"11,5",360,"3,389815","105,583334",,2,118,16,"5,4375","108,75","1,579861","31,597222",4,"7,5",150,"2,191667","43,833334",,3,5,60,"5,483333","219,75","1,67536","66,508324",72,"6,972222","277,083333","2,034864","81,722424",,,,2,2,85,",683334","29,083334",138,"4,623188","197,210145","1,369617","58,387096",,,5,,,,,,135,"2,940741","136,62963",",875702","40,530294",,62,,18,1,50,",288066","14,403292",60,"3,516667","175,833333","1,018374","50,918716",,4,31,82,"3,670732","165,97561","1,065831","48,167889",23,"5,086957","235,652174","1,562313","72,305679",,5,96,23,3,"171,304348",",839948","47,923944",16,4,"228,75","1,155648","66,068982",,92,21,6,2,40,",573457","11,469136",21,"6,333333",105,"1,869991","30,930437",,135,,,,,,,5,"1,2",18,",383704","5,755556",
1483479,266,,,1,34,1170,"11,9","409,5",265,"67,781132","2750,037736","20,098993","815,945139",,60,93,49,"5,714286","251,020408","1,687711","73,328465",64,"8,71875",390,"2,640744","119,636371",,10,6,23,"5,913043","118,26087","1,570656","31,413113",227,"8,933921","178,986784","2,683899","53,769923",,12,1,8,"3,5",210,"1,066204","63,972222",245,"5,64898","338,938776","1,710212","102,612688",,,85,12,2,70,",590641","20,672431",169,"2,35503","123,550296",",715698","37,571007",,6,,59,"3,254237","32,542373","1,00622","10,062205",201,"4,58209","183,58209","1,347231","54,484391",,150,1,,,,,,115,"1,8","107,608696",",529681","31,67942",,12,75,102,"5,303922","159,117647","1,588122","47,643646",77,"7,337662","220,12987","2,360972","70,829174",,,20,58,3,180,",922575","55,35452",188,4,240,"1,213843","72,830563",,1,32,12,"2,25","43,75",",704321","13,724537",221,"4,746606","135,497738","1,405071","40,516237",,45,,,,,,,221,"1,497738","26,244344",",455054","7,967197",
1483480,142,,2,11,"36,818182",1560,"9,966751","422,53367",129,"57,922481","2670,736434","15,194454","700,713897",,37,79,11,"7,909091","264,545455","2,072841","69,255944",15,"13,333333",457,"3,45679","118,481482",,1,12,48,"6,5",130,"1,73277","34,655401",81,"8,641975","172,839506","2,270183","45,403663",,124,2,,,,,,16,"16,5","823,125","4,05666","203,92735",,,1,5,2,75,",522508","19,594017",136,"4,764706","229,338235","1,259811","60,646427",,48,1,7,1,30,",247222","7,416667",86,"2,883721","184,883721",",749685","48,227782",,,2,1,2,45,",518519","11,666667",139,"4,093525","139,748201","1,075023","36,633856",,,,14,"5,142857","214,642857","1,274608","53,18198",128,"6,25","262,070313","1,664469","69,793476",,,,,,,,,142,"12,683099","634,15493","3,354922","167,74611",,,1,,,,,,141,"2,489362","93,297872",",659772","24,764758",,2,,,,,,,140,1,15,",265877","3,988154",
